TestCondition,BallID,Name,BallSpeed,LaunchAngle,SpinRate,Time (s),ObservedCarry,SIMULATED
6,15,Ball-1-27PH.csv,254,11,37,6.3,275.2,300
7,15,Ball-1-27PH.csv,254,10,52,7,280.7,300
8,15,Ball-1-27PH.csv,254,9,52,6.78,277.7,300
9,15,Ball-1-27PH.csv,254,11,52,7.22,283.1,300
10,15,Ball-1-27PH.csv,270,11,37,6.73,295.8,300
11,15,Ball-1-27PH.csv,270,10,37,6.5,291.6,300
12,15,Ball-1-27PH.csv,270,12,37,6.95,299.4,300
13,15,Ball-1-27PH.csv,270,11,33,6.46,291.7,300
14,15,Ball-1-27PH.csv,270,10,33,6.22,287,300
15,15,Ball-1-27PH.csv,270,12,33,6.69,295.9,300
16,15,Ball-1-27PH.csv,270,11,47,7.37,301.7,300
17,15,Ball-1-27PH.csv,270,10,47,7.15,298.9,300
18,15,Ball-1-27PH.csv,270,12,47,7.58,303.9,300
1,16,Ball-2-27PH.csv,254,10,42,6.88,286.9,300
2,16,Ball-2-27PH.csv,254,9,42,6.64,283.3,300
3,16,Ball-2-27PH.csv,254,11,42,7.1,289.9,300
4,16,Ball-2-27PH.csv,254,10,37,6.54,284,300
5,16,Ball-2-27PH.csv,254,9,37,6.29,279.4,300
6,16,Ball-2-27PH.csv,254,11,37,6.77,287.8,300
7,16,Ball-2-27PH.csv,254,10,52,7.46,285.9,300
8,16,Ball-2-27PH.csv,254,9,52,7.25,284.1,300
9,16,Ball-2-27PH.csv,254,11,52,7.64,287.3,300
10,16,Ball-2-27PH.csv,270,11,37,7.22,308.9,300
11,16,Ball-2-27PH.csv,270,10,37,6.99,305.4,300
12,16,Ball-2-27PH.csv,270,12,37,7.44,311.7,300
13,16,Ball-2-27PH.csv,270,11,33,6.94,306.1,300
14,16,Ball-2-27PH.csv,270,10,33,6.7,302,300
15,16,Ball-2-27PH.csv,270,12,33,7.17,309.7,300
16,16,Ball-2-27PH.csv,270,11,47,7.86,309.3,300
17,16,Ball-2-27PH.csv,270,10,47,7.66,307.6,300
18,16,Ball-2-27PH.csv,270,12,47,8.05,310.5,300
1,17,Ball-3-27PH.csv,254,10,42,6.5,278.1,300
2,17,Ball-3-27PH.csv,254,9,42,6.26,273.7,300
3,17,Ball-3-27PH.csv,254,11,42,6.73,281.8,300
4,17,Ball-3-27PH.csv,254,10,37,6.17,273.7,300
5,17,Ball-3-27PH.csv,254,9,37,5.92,268.5,300
6,17,Ball-3-27PH.csv,254,11,37,6.41,278.3,300
7,17,Ball-3-27PH.csv,254,10,52,7.09,281.2,300
8,17,Ball-3-27PH.csv,254,9,52,6.88,278.6,300
9,17,Ball-3-27PH.csv,254,11,52,7.29,283.3,300
10,17,Ball-3-27PH.csv,270,11,37,6.84,298.9,300
11,17,Ball-3-27PH.csv,270,10,37,6.61,294.8,300
12,17,Ball-3-27PH.csv,270,12,37,7.07,302.5,300
13,17,Ball-3-27PH.csv,270,11,33,6.57,295.2,300
14,17,Ball-3-27PH.csv,270,10,33,6.33,290.5,300
15,17,Ball-3-27PH.csv,270,12,33,6.8,299.4,300
16,17,Ball-3-27PH.csv,270,11,47,7.48,303.1,300
17,17,Ball-3-27PH.csv,270,10,47,7.26,300.7,300
18,17,Ball-3-27PH.csv,270,12,47,7.68,305.1,300
1,18,Ball-4-27PH.csv,254,10,42,6.99,291.5,300
2,18,Ball-4-27PH.csv,254,9,42,6.76,288.1,300
3,18,Ball-4-27PH.csv,254,11,42,7.21,294.3,300
4,18,Ball-4-27PH.csv,254,10,37,6.63,288.9,300
5,18,Ball-4-27PH.csv,254,9,37,6.38,284.4,300
6,18,Ball-4-27PH.csv,254,11,37,6.86,292.7,300
7,18,Ball-4-27PH.csv,254,10,52,7.55,288.5,300
8,18,Ball-4-27PH.csv,254,9,52,7.37,287,300
9,18,Ball-4-27PH.csv,254,11,52,7.72,289.5,300
10,18,Ball-4-27PH.csv,270,11,37,7.33,314.2,300
11,18,Ball-4-27PH.csv,270,10,37,7.1,310.8,300
12,18,Ball-4-27PH.csv,270,12,37,7.54,316.9,300
13,18,Ball-4-27PH.csv,270,11,33,7.02,311.5,300
14,18,Ball-4-27PH.csv,270,10,33,6.77,307.3,300
15,18,Ball-4-27PH.csv,270,12,33,7.25,315,300
16,18,Ball-4-27PH.csv,270,11,47,7.97,312.9,300
17,18,Ball-4-27PH.csv,270,10,47,7.78,311.6,300
18,18,Ball-4-27PH.csv,270,12,47,8.15,313.9,300
1,19,Ball-5-27PH.csv,254,10,42,6.99,285.9,300
2,19,Ball-5-27PH.csv,254,9,42,6.77,282.8,300
3,19,Ball-5-27PH.csv,254,11,42,7.2,288.3,300
4,19,Ball-5-27PH.csv,254,10,37,6.67,284.5,300
5,19,Ball-5-27PH.csv,254,9,37,6.43,280.4,300
6,1,Ball-5-27PH.csv,254,11,37,6.91,288,300
7,19,Ball-5-27PH.csv,254,10,52,7.43,280.6,300
8,19,Ball-5-27PH.csv,254,9,52,7.26,279.3,300
9,19,Ball-5-27PH.csv,254,11,52,7.59,281.5,300
10,19,Ball-5-27PH.csv,270,11,37,7.35,308.5,300
11,19,Ball-5-27PH.csv,270,10,37,7.13,305.5,300
12,19,Ball-5-27PH.csv,270,12,37,7.57,310.9,300
13,19,Ball-5-27PH.csv,270,11,33,7.07,306.9,300
14,19,Ball-5-27PH.csv,270,10,33,6.83,303,300
15,19,Ball-5-27PH.csv,270,12,33,7.3,310.1,300
16,19,Ball-5-27PH.csv,270,11,47,7.88,305,300
