Launch Conditions:,,,,,,
Ball Speed (ft/s),Launch Angle (degrees),Spin Rate (rps),,Environmental Conditions:,,
Ball-1-27PH.csv,270,11,47,7.37,301.7,316.4
Ball-1-27PH.csv,270,10,47,7.15,298.9,316.5
Ball-1-27PH.csv,270,12,47,7.58,303.9,315.9
Ball-2-27PH.csv,254,10,42,6.88,286.9,308.2
Ball-2-27PH.csv,254,9,42,6.64,283.3,308
Ball-2-27PH.csv,254,11,42,7.1,289.9,308
Ball-2-27PH.csv,254,10,37,6.54,284,309.4
Ball-2-27PH.csv,254,9,37,6.29,279.4,308.4
Ball-2-27PH.csv,254,11,37,6.77,287.8,309.9
Ball-2-27PH.csv,254,10,52,7.46,285.9,298.8
Ball-2-27PH.csv,254,9,52,7.25,284.1,299.9
Ball-2-27PH.csv,254,11,52,7.64,287.3,297.6
Ball-2-27PH.csv,270,11,37,7.22,308.9,327
Ball-2-27PH.csv,270,10,37,6.99,305.4,326.8
Ball-2-27PH.csv,270,12,37,7.44,311.7,326.9
Ball-2-27PH.csv,270,11,33,6.94,306.1,327.4
Ball-2-27PH.csv,270,10,33,6.7,302,326.5
Ball-2-27PH.csv,270,12,33,7.17,309.7,327.8
Ball-2-27PH.csv,270,11,47,7.86,309.3,319.7
Ball-2-27PH.csv,270,10,47,7.66,307.6,320.7
Ball-2-27PH.csv,270,12,47,8.05,310.5,318.5
Ball-3-27PH.csv,254,10,42,6.5,278.1,302.9
Ball-3-27PH.csv,254,9,42,6.26,273.7,302.1
Ball-3-27PH.csv,254,11,42,6.73,281.8,303.3
Ball-3-27PH.csv,254,10,37,6.17,273.7,302.2
Ball-3-27PH.csv,254,9,37,5.92,268.5,300.6
Ball-3-27PH.csv,254,11,37,6.41,278.3,303.4
Ball-3-27PH.csv,254,10,52,7.09,281.2,298.2
Ball-3-27PH.csv,254,9,52,6.88,278.6,298.8
Ball-3-27PH.csv,254,11,52,7.29,283.3,297.4
Ball-3-27PH.csv,270,11,37,6.84,298.9,320.3
Ball-3-27PH.csv,270,10,37,6.61,294.8,319.4
Ball-3-27PH.csv,270,12,37,7.07,302.5,320.7
Ball-3-27PH.csv,270,11,33,6.57,295.2,319.3
Ball-3-27PH.csv,270,10,33,6.33,290.5,317.9
Ball-3-27PH.csv,270,12,33,6.8,299.4,320.3
Ball-3-27PH.csv,270,11,47,7.48,303.1,317.2
Ball-3-27PH.csv,270,10,47,7.26,300.7,317.7
Ball-3-27PH.csv,270,12,47,7.68,305.1,316.5
Ball-4-27PH.csv,254,10,42,6.99,291.5,312.1
Ball-4-27PH.csv,254,9,42,6.76,288.1,312.1
Ball-4-27PH.csv,254,11,42,7.21,294.3,311.7
Ball-4-27PH.csv,254,10,37,6.63,288.9,314.2
Ball-4-27PH.csv,254,9,37,6.38,284.4,313.2
Ball-4-27PH.csv,254,11,37,6.86,292.7,314.6
Ball-4-27PH.csv,254,10,52,7.55,288.5,299.9
Ball-4-27PH.csv,254,9,52,7.37,287,301.2
